,,Search,,,Legendary Start,,,HOPE,,,,Prototype,,,,,Collection,,
,Pile of Incandescent Dust,500,,,Gift of Condensed Magic,,,Gift of the Mists,1,,,Glob of Ectoplasm,10,,,,Mechanical Pistol Frame,Speak to a Master Huntsman to discover the secret to mechanical pistol frames.,FALSE
,Pile of Luminous Dust,100,,,Gift of Condensed Magic,,,Gift of Glory,1,,,Pile of Crystalline Dust,5,,,,The Art of Forging: Pistol Barrel Edition Vol. 2,Speak to a Master Huntsman to discover the art of forging.,FALSE
,Pile of Radiant Dust,100,,,Gift of Condensed Magic,,,Gift of Battle,1,,,Orichalcum Plated Dowel,1,,,,Precise Pistol Barrel,Speak to a Master Huntsman to discover the secret to precise pistol barrels.,FALSE
,Gift of Condensed Might,2,,,Gift of Condensed Might,,,Gift of War,1,,,Elonian Leather Square,10,,,,Precise Pistol Forging Tools,Speak to a Master Huntsman to learn the secrets of precision forging tools.,FALSE
,Gift of Claws,2,,,Gift of Condensed Might,,,Cube of Stabilized Dark Energy,1,,,Jar of Luminesce Polish,1,,-,,Basic Pistol Requisition,Speak to a Master Huntsman to learn his needs for the war effort.,FALSE
,Vicious Claw,200,,,Gift of Condensed Might,,,Gift of Wood,1,,,Pile of Bloodstone Dust,250,,,1000 Bandit Crests,Desert Magics: Pistol Edition Vol. 2,Speak to Scholar Mossi in the Trader's Forum in Lion's Arch to learn her needs for applied research in Desert Magics. (Requires 1000 Bandit Crests),FALSE
,Large Claw,500,,,Gift of Condensed Might,,,Ancient Wood Plank,250,,,Amalgamated Gemstone,1,,,400 Geodes,Jungle Magics: Pistol Edition Vol. 2,Speak to Scholar Mossi in the Trader's Forum in Lion's Arch to learn her needs for applied research in Jungle Magics. (Requires 400 Geodes),FALSE
,Sharp Claw,100,,,Gift of Condensed Might,,,Elder Wood Plank,250,,,Thermocatalytic Reagent,10,,,100 Obsidian Shards,Old World Magics: Pistol Edition Vol. 2,Speak to Scholar Mossi in the Trader's Forum in Lion's Arch to learn her needs for applied research in Old World Magics. (Requires 100 Obsidian Shards),FALSE
,Claw,100,,,Gift of Condensed Might,,,Hard Wood Plank,250,,,Master Maintenance Oil,10,,,100 Karka Shells,Ancient Water Magics: Pistol Edition Vol. 2,Speak to Scholar Mossi in the Trader's Forum in Lion's Arch to learn her needs for applied research in Ancient Water Magics. (Requires 100 Karka Shells),FALSE
,Gift of Scales,2,,,Gift of Condensed Might,,,Seasoned Wood Plank,250,,,Prismatic Lodestone,1,,-,25 Passion Flowers,Herbal Magics: Pistol Edition Vol. 2,Speak to Scholar Mossi in the Trader's Forum in Lion's Arch to learn her needs for applied research in Herbal Magics. (Requires 25 Passion Flowers),FALSE
,Armored Scale,200,,,Gift of Condensed Might,,,,,,,Glacial Lodestone,1,,,25 Stabilizing Matrices,Stabilizing Magics: Pistol Edition Vol. 2,Speak to Scholar Mossi in the Trader's Forum in Lion's Arch to learn her needs for applied research in Stabilizing Magics. (Requires 25 Stabilizing Matrices),FALSE
,Large Scale,500,,,Gift of Condensed Might,,,,,,,Molten Lodestone,1,,,10000 Karma,HOPE Vol. 2,Purchased from Grandmaster Craftsman Hobbs after training the Magister of Legends ability in the Legendary Crafting Mastery Track.,FALSE
,Smooth Scale,100,,,Gift of Condensed Might,,,,,,,Onyx Lodestone,1,,,,Research,"Salvage this weapon to receive its spirit, needed to craft the next tier of this legendary precursor.",FALSE
,Scale,100,,,Gift of Condensed Might,,,,,,,Charged Lodestone,1,,,-,HOPE III: Prototype,,FALSE
,Gift of Bones,2,,,Gift of Condensed Might,,,,,,,Finely Tuned Firing Pin,1,,-,World Boss,Empty Branded Crystal,Found in the chest after defeating the Shatterer in Blazeridge Steppes.,FALSE
,Ancient Bone,200,,,Gift of Condensed Might,,,,,,,Mithril Ingot,250,,,,Chak Crystal Charge,Use the Empty Branded Crystal to gain a crystal charge inside the chak nest near the Ley Line Node in Tangled Depths.,FALSE
,Large Bone,500,,,Gift of Condensed Might,,,,,,,Orichalcum Ingot,100,,,Jumping Puzzle,Chaos Crystal Charge,Use the Empty Branded Crystal to gain a crystal charge near the chest at the end of the Chaos Crystal Cavern in Iron Marches.,FALSE
,Heavy Bone,100,,,Gift of Condensed Might,,,,,,,Thermocatalytic Reagent,10,,,,Omadd's Crystal Charge,Use the Empty Branded Crystal to gain a crystal charge near Omadd's Machine at the Cavern of the Shining Lights in Dry Top.,FALSE
,Bone,100,,,Gift of Condensed Might,,,,,,,Deldrimor Steel Ingot,5,,,Jumping Puzzle,Hexfoundry Crystal Charge,Use the Empty Branded Crystal to gain a crystal charge near the chest of the foundry under Darkweather Rise in Sparkfly Fen.,FALSE
,Gift of Fangs,2,,,Gift of Condensed Might,,,,,,,Advanced Ammunition Cylinder,1,,-,Adventure,Ley-Line Crystal Charge,Use the Empty Branded Crystal to gain a crystal charge after earning rank silver or better in the Ley-Line Run adventure in Tangled Depths.,FALSE
,Vicious Fang,200,,,Gift of Condensed Might,,,,,,,Darksteel Ingot,250,,,,Energized Branded Crystal,Collect the five crystal charges to energize the Empty Branded Crystal.,FALSE
,Large Fang,500,,,Gift of Condensed Might,,,,,,,Mithril Ingot,250,,,Fractal,Aetherized Capacitor,A reactor component looted from the chest at the end of the Captain Mai Trin Boss Fractal.,FALSE
,Sharp Fang,100,,,Gift of Condensed Might,,,,,,,Orichalcum Ingot,50,,,,Aspect Elemental Reactor,A reactor component gathered from looting the Inquest Experimental Aspect Suit in Dry Top.,FALSE
,Fang,100,,,Gift of Condensed Might,,,,,,,Deldrimor Steel Ingot,5,,,World Boss,Damaged Reactor Housing,A reactor component looted from the chest after defeating the Fire Elemental located in the Thaumanova Reactor in Metrica Province.,FALSE
,Crystalline Ingot,1,,,Crystalline Ingot,,,,,,,HOPE II: Development,,,-,Fractal,Old Tom's New Reactor,A reactor component found in the chest at the end of the Uncategorized Fractal.,FALSE
,Crystalline Ore,1,,,Crystalline Ingot,,,,,,,Mithril Ingot,1330,,,World Boss,Golem Capacitor,A reactor component looted from the chest after defeating Inquest Golem Mark II in Mount Maelstrom.,FALSE
,Fulgurite,1,,,Crystalline Ingot,,,,,,,Elder Wood Plank,770,,,,Experimental Reactor,"Take the five reactor components to the Snaff Memorial Lab in Rata Sum, and use the Synergetics Workstation to create the Experimental Reactor.",FALSE
,Glob of Ectoplasm,1,,,Crystalline Ingot,,,,,,,Thermocatalytic Reagent,520,,,Champion,Infinitely Spiraled Device,Found by looting the Champion Infinity Coil Commander in Mount Maelstrom.,FALSE
,Amalgamated Gemstone,1,,,Crystalline Ingot,,,,,,,Orichalcum Ingot,130,,,,Sabotaged Weapon Parts,Purchase from Lightbringer Krentch after successfully helping the Order of Whispers sabotage Inquest weapon tests on the hylek village of Tzanopl Grounds in Mount Maelstrom.,FALSE
,Charged Lodestone,1,,,Charged Lodestone,,,,,,,Pile of Crystalline Dust,50,,,,Perpetual Energy Coil,"Recipe offered for purchase by Kamma after successfully helping her test her experimental weapon at the United Arcanist Lab in Sparkfly Fen. Requires Energized Branded Crystal, Experimental Reactor, Infinitely Spiraled Device and Sabotaged Weapon Parts.",FALSE
,Charged Core,2,,,Charged Lodestone,,,,,,,Bronze Ingot,30,,,Adventure,Charged Auric Particles,Gathered by earning a rank of silver or better in the On Wings of Gold adventure in Auric Basin.,FALSE
,Bottle of Elonian Wine,1,,,Charged Lodestone,,,,,,,Iron Ingot,30,,,Champion,Golden Oxide Compound,Gathered by looting the Champion Auran the Golden Ooze inside the cave at Westwatch Patch in Auric Basin.,FALSE
,Pile of Crystalline Dust,1,,,Charged Lodestone,,,,,,,Steel Ingot,30,,,Veteran,Ley-Line Mercuric Compound,Occasionally looted from veteran chak lobbers in Tangled Depths.,FALSE
,Mystic Crystal,1,,,Charged Lodestone,,,,,,,Darksteel Ingot,30,,,,Nuhoch Saliva,Gathered from a Nuhoch Spittoon near the Hero Challenge at Stonetwist Paths in Verdant Brink.,FALSE
,Onyx Lodestone,1,,,Onyx Lodestone,,,,,,,Deldrimor Steel Ingot,25,,,,Alkaline Solution,"Purchase the recipe for the Unstable Energy Concoction from Atlalli, Master Alchemist in the Hunting Banks of Timberline Falls. Requires the 4 items above as ingredients.",FALSE
,Onyx Core,2,,,Onyx Lodestone,,,,,,,Green Wood Plank,20,,,Jumping Puzzle,Perplexing Energized Cube,Found in the chest in the depths of Cubular Fells in Mount Maelstrom.,FALSE
,Bottle of Elonian Wine,1,,,Onyx Lodestone,,,,,,,Soft Wood Plank,20,,,Fractal,Thaumanova Anomaly Spark,Found in the chest at the end of the Thaumanova Reactor Fractal.,FALSE
,Pile of Crystalline Dust,1,,,Onyx Lodestone,,,,,,,Seasoned Wood Plank,20,,,,Synergetic Generator,"Take the Perplexing Energized Cube, the Perpetual Energy Coil, Alkaline Solution, and the Thaumanova Anomaly Spark to the Snaff Memorial Lab in Rata Sum and use the Synergetics Workstation to create a Synergetic Generator.",FALSE
,Mystic Crystal,1,,,Onyx Lodestone,,,,,,,Hard Wood Plank,20,,,Adventure,Proximity Test: Fungus Among Us Adventure,Take the Synergetic Generator to Auric Basin and test the energy reactions after gaining a rank of silver or better in the adventure A Fungus Among Us.,FALSE
,Molten Lodestone,1,,,Molten Lodestone,,,,,,,Ancient Wood Plank,20,,,Jumping Puzzle,Proximity Test: Goemm's Lab,Take the Synergetic Generator to Goemm's Lab in Metrica Province and test the energy reactions near the chest after defeating Goemm the Mad.,FALSE
,Molten Core,2,,,Molten Lodestone,,,,,,,Spiritwood Plank,15,,,,Proximity Test: Inquest Specialist,"Take the Synergetic Generator to the abandoned mine in Dry Top and attempt to sabotage the Inquest Synergetics Panel. After defeating the Inquest Synergetics Expert, use the device to test the energy reactions in the area.",FALSE
,Bottle of Elonian Wine,1,,,Molten Lodestone,,,,,,,Lump of Primordium,10,,,World Boss,Proximity Test: Megadestroyer,Take the Synergetic Generator to Mount Maelstrom and test the energy reactions near the chest after defeating the Megadestroyer.,FALSE
,Pile of Crystalline Dust,1,,,Molten Lodestone,,,,,,,,,,,World Boss,Proximity Test: Tequatl,Take the Synergetic Generator to Sparkfly Fen and test the energy reactions near the chest after defeating Tequatl the Sunless.,FALSE
,Mystic Crystal,1,,,Molten Lodestone,,,,,,,,,,,,HOPE Vol. 3,Purchased from Grandmaster Craftsman Hobbs after training the Historian of the Armaments ability in the Legendary Crafting Mastery Track.,FALSE
,Glacial Lodestone,1,,,Glacial Lodestone,,,,,,,,,,,,Development,"Salvage this weapon to receive its spirit, needed to craft the next tier of this legendary precursor.",FALSE
,Glacial Core,2,,,Glacial Lodestone,,,,,,,,,,,-,HOPE IV: The Catalyst,,FALSE
,Bottle of Elonian Wine,1,,,Glacial Lodestone,,,,,,,,,,,,Dwarven Spell Trap,"Speak with Ogden, in the Durmand Priory within Lornar's Pass, to obtain this.",FALSE
,Pile of Crystalline Dust,1,,,Glacial Lodestone,,,,,,,,,,,Veteran,Fleshreaver's Magic,Activate the Dwarven Spell Trap before defeating the Fleshreaver inside the cave at Onager Bivouac in Fireheart Rise to collect its ancient magic.,FALSE
,Mystic Crystal,1,,,Glacial Lodestone,,,,,,,,,,,World Boss,Karka Queen's Magic,Activate the Dwarven Spell Trap before defeating the Legendary Karka Queen in Southsun Cove to collect her ancient magic.,FALSE
,Corrupted Lodestone,1,,,Corrupted Lodestone,,,,,,,,,,,Veteran,Fleshgrazer's Magic,Activate the Dwarven Spell Trap before defeating Fleshgrazer inside Forsaken Fortune in Dredgehaunt Cliffs to collect its ancient magic.,FALSE
,Corrupted Core,2,,,Corrupted Lodestone,,,,,,,,,,,,Charged Dwarven Spell Trap,Use the Dwarven Spell Trap after gathering the three ancient magics to completely charge it.,FALSE
,Bottle of Elonian Wine,1,,,Corrupted Lodestone,,,,,,,,,,,,Soul Battery Fragment,Speak with Countess Anise in the Throne Room of Divinity's Reach to obtain the Soul Battery Fragment.,FALSE
,Pile of Crystalline Dust,1,,,Corrupted Lodestone,,,,,,,,,,,Legendary,Risen High Wizard Soul Energy,Activate the Soul Battery Fragment before defeating the Legendary Risen High Wizard at the Narthex in Cursed Shore to capture its soul energy.,FALSE
,Mystic Crystal,1,,,Corrupted Lodestone,,,,,,,,,,,Champion,Risen King Soul Energy,"Activate the Soul Battery Fragment before defeating the Risen King, located inside the Reliquary Vault of Cursed Shore, to capture its soul energy.",FALSE
,Destroyer Lodestone,1,,,Destroyer Lodestone,,,,,,,,,,,Champion,Risen Knight Soul Energy,"Activate the Soul Battery Fragment before defeating the Champion Risen Knight, located near the Dwayna Statue in Malchor's Leap, to capture its soul energy.",FALSE
,Destroyer Core,2,,,Destroyer Lodestone,,,,,,,,,,,Veteran,Karas the Undying's Soul Energy,"Activate the Soul Battery Fragment before defeating Karas the Undying, west of Rayhan Bayt in Malchor's Leap, to capture its soul energy.",FALSE
,Bottle of Elonian Wine,1,,,Destroyer Lodestone,,,,,,,,,,,,Energized Soul Battery Fragment,Gather four soul energies to power the Soul Battery Fragment.,FALSE
,Pile of Crystalline Dust,1,,,Destroyer Lodestone,,,,,,,,,,,,Pure Crystalline Phial,"Speak with the Priestess of Dwayna, at the Plaza of Dwayna in Divinity's Reach, to purchase Pure Crystalline Phials.",FALSE
,Mystic Crystal,1,,,Destroyer Lodestone,,,,,,,,,,,Veteran,Branded Crystalline Phial,Corrupt a Pure Crystalline Phial in your inventory by defeating a Veteran Branded Spark found east of Skara Braevus in Blazeridge Steppes.,FALSE
,Gift of Desert Mastery,1,,,Gift of Desert Mastery,,,,,,,,,,,Champion,Icebrood Crystalline Phial,Corrupt a Pure Crystalline Phial in your inventory by defeating the Champion Icebrood Quaggan located inside the cave in the south of Leopard's Tail Valley in Frostgorge Sound.,FALSE
,Gift of the Desert,1,,,Gift of Desert Mastery,,,,,,,,,,,Champion,Risen Crystalline Phial,Corrupt a Pure Crystalline Phial in your inventory by defeating the Champion Risen Wraith at the Cathedral of Eternal Radiance in Malchor's Leap.,FALSE
,Gift of the Rider,1,,,Gift of Desert Mastery,,,,,,,,,,,Legendary,Mordrem-Influenced Crystalline Phial,Corrupt a Pure Crystalline Phial in your inventory by defeating Vinetooth Prime inside Vinetooth's Den in Auric Basin.,FALSE
,Bloodstone Shard,1,,,Gift of Desert Mastery,,,,,,,,,,,World Boss,Dhuum-Touched Crystalline Phial,Corrupt a Pure Crystalline Phial in your inventory by defeating the Shadow Behemoth when it arises in Godslost Swamp in Queensdale.,FALSE
,Funerary Incense,250,,,Gift of Desert Mastery,,,,,,,,,,,,Case of Corrupted Crystalline Phials,Combine five different corrupted crystalline phials into the Case of Corrupted Crystalline Phials.,FALSE
,The Bifrost,,,,Staff,,,,,,,,,,,Jumping Puzzle,Crystallized Magic,Found by looting the chest in Spekk's Laboratory in Caledon Forest.,FALSE
,The Legend,1,,,The Bifrost,,,,,,,,,,,Fractal,Force of the Searing,"With the Crystallized Magic in your inventory, gather the searing's chaotic energy by looting the chest at the end of the Urban Battlegrounds Fractal.",FALSE
,Gift of Mastery,1,,,The Bifrost,,,,,,,,,,,,Ectoplasmic Vapor,"With the Crystallized Magic in your inventory, gather chaotic ectoplasmic energy by looting the Ascalonian ghosts found at the Old Piken Ruins in Iron Marches.",FALSE
,Bloodstone Shard,1,,,The Bifrost,,,,,,,,,,,,Ley-Line Hub Radiation,"With the Crystallized Magic in your inventory, gather chaotic ley-line energy by defeating earth elementals near Omadd's Machine within the Cavern of the Shining Lights in Dry Top.",FALSE
,Obsidian Shard,250,,,The Bifrost,,,,,,,,,,,,Chaotic Magics,Gather and combine the three chaotic energies with a piece of Crystallized Magic to create the Chaotic Magic.,FALSE
,Gift of Exploration,1,,,The Bifrost,,,,,,,,,,,,Transcendent Energy,"Take the Charged Dwarven Spell Trap, Energized Soul Battery Fragment, Case of Corrupted Crystalline Phials, and Chaotic Magic to the Metal Forest on Pyrite Peninsula in Malchor's Leap to combine them into Transcendent Energy.",FALSE
,Gift of Battle,1,,,The Bifrost,,,,,,,,,,,,Empty Hylek Flask,"Recipe purchased from Atlalli, Mastery Alchemist at the Hunting Banks of Timberline Falls.",FALSE
,Gift of Fortune,1,,,The Bifrost,,,,,,,,,,,Veteran,Sulfuric Egg,A volatile ingredient looted from the Veteran Matriarch after rescuing Wark from the infatuated harpy inside the western ruins of the Shattered Palisades in Blazeridge Steppes.,FALSE
,Glob of Ectoplasm,250,,,The Bifrost,,,,,,,,,,,,Slimemold,A volatile ingredient occasionally looted from toxic oozes.,FALSE
,Mystic Clover,77,,,The Bifrost,,,,,,,,,,,Veteran,Crystallized Chaos,A volatile ingredient looted from Vilnia Shadowsong near the Raven Shaman's Power Source hidden within Darkhoof Heights in Snowden Drifts.,FALSE
,Gift of Magic,1,,,The Bifrost,,,,,,,,,,,Legendary,Naphthenic Acid,A volatile ingredient looted from the Mordrem Wyvern at Matriarch's Perch in Verdant Brink.,FALSE
,Vial of Powerful Blood,250,,,The Bifrost,,,,,,,,,,,,Concentrated Volatile Substance,"With an Empty Hylek Flask in your inventory, mix the four volatile ingredients to form the Concentrated Volatile Substance.",FALSE
,Powerful Venom Sac,250,,,The Bifrost,,,,,,,,,,,,Ichor Extraction Technique,"Speak with Atlalli, the Mastery Alchemist, at the Hunting Grounds in Timberline Falls, to learn his secret ichor extraction technique.",FALSE
,Elaborate Totem,250,,,The Bifrost,,,,,,,,,,,Adventure,Common Chak Ichor,"After learning the special technique, achieve a rank silver or better in the Haywire Punch-o-Matic Battle adventure within the Rata Novus Lane of Tangled Depths to gather the chak's ichor.",FALSE
,Pile of Crystalline Dust,250,,,The Bifrost,,,,,,,,,,,Champion,Royal Wasp Ichor,"After learning the special technique, defeat the Champion Wasp Queen near the Ebonhawke Delegation in Fields of Ruin to gather her ichor.",FALSE
,Gift of Might,1,,,The Bifrost,,,,,,,,,,,Champion,Branded Devourer Ichor,"After learning the special technique, defeat the Champion Branded Devourer Queen inside The Infestation in Iron Marches or the Champion Giant Branded Devourer in Sniper's Woods in Fields of Ruin to gather the ichor.",FALSE
,Vicious Fang,250,,,The Bifrost,,,,,,,,,,,Legendary,Royal Chak Ichor,"After learning the special technique, defeat the Legendary Chak Gerent in Tangled Depths to gather its ichor.",FALSE
,Armored Scale,250,,,The Bifrost,,,,,,,,,,,,Ichor Alkahest,"With an Empty Hylek Flask in your inventory, mix all four ichors together to create the Ichor Alkahest.",FALSE
,Vicious Claw,250,,,The Bifrost,,,,,,,,,,,,Spider Venom Extraction Technique,Speak with Eda in Queensdale to learn her spider venom extraction technique.,FALSE
,Ancient Bone,250,,,The Bifrost,,,,,,,,,,,Champion,Gargantula's Venom,"After learning the special technique, defeat Gargantula inside the cave at Wynchona Woods in Harathi Hinterlands and loot her venom.",FALSE
,Gift of The Bifrost,1,,,The Bifrost,,,,,,,,,,,Champion,Toxic Spider Queen's Venom,"After learning the special technique, defeat the Toxic Spider Queen just north of the Togatl Grounds in Kessex Hills and loot her venom.",FALSE
,Icy Runestone,100,,,The Bifrost,,,,,,,,,,,Champion,Canyon Spider Queen's Venom,"After learning the special technique, defeat the Champion Canyon Spider Queen located inside the Sweltering Canyons of Fireheart Rise and loot her venom.",FALSE
,Superior Sigil of Nullification,1,,,The Bifrost,,,,,,,,,,,Champion,Enraged Spider Queen's Venom,"After learning the special technique, defeat the Enraged Spider Queen outside the mansion of Almuten Estates in Gendarran Fields and loot her venom.",FALSE
,Gift of Energy,1,,,The Bifrost,,,,,,,,,,,,Arachnid Venom Decanter,"With an Empty Hylek Flask in your inventory, mix the four spider venoms to create the Arachnid Venom Decanter.",FALSE
,Pile of Crystalline Dust,250,,,The Bifrost,,,,,,,,,,,,M-PEC,"Speak with Jett, along the southern road exiting Griffonfall in Auric Basin, to obtain the M-PEC.",FALSE
,Pile of Incandescent Dust,250,,,The Bifrost,,,,,,,,,,,Champion,Mushroom Emperor's Volatile Spores,Activate the M-PEC before defeating a Champion Mushroom Emperor in Tangled Depths or Dragon's Stand to gather its spores.,FALSE
,Pile of Luminous Dust,250,,,The Bifrost,,,,,,,,,,,Veteran,Bloodsucker Enzymes,Activate the M-PEC before defeating a Veteran Bloodsucker inside the caves of Auric Basin to gather its enzymes.,FALSE
,Pile of Radiant Dust,250,,,The Bifrost,,,,,,,,,,,Veteran,Beetle Juice,Activate the M-PEC before defeating the Veteran Follower of Zintl outside the Capitzel Grounds in Auric Basin to gather their beetle's juice.,FALSE
,Gift of Color,1,,,The Bifrost,,,,,,,,,,,Veteran,Frothy Troll Saliva,Activate the M-PEC before defeating a Veteran Deep Cave Troll found inside the damp caverns in either Auric Basin or Tangled Depths to gather its saliva.,FALSE
,Gift of Zhaitan,1,,,The Bifrost,,,,,,,,,,,Champion,Malodorous Mucus,Activate the M-PEC before defeating a Champion Arrowhead at Arrowhead Vale in Auric Basin to gather its mucus.,FALSE
,Opal Orb,100,,,The Bifrost,,,,,,,,,,,Champion,Salivary Stone,Activate the M-PEC before defeating a Champion Stonehead near the Griffonfall Pylon in Auric Basin to gather its salivary stone.,FALSE
,Pile of Crystalline Dust,250,,,The Bifrost,,,,,,,,,,,,Concentrated Maguuma Bacteria,"With an Empty Hylek Flask in your inventory, mix the six jungle bacteria to create the Concentrated Maguuma Bacteria.",FALSE
,Unidentified Dye,100,,,The Bifrost,,,,,,,,,,,,Alchemical Catalyst,"Take the Concentrated Volatile Substance, Ichor Alkahest, Arachnid Venom Decanter, and Concentrated Maguuma Bacteria to the Alchemy Mixing Table near Atlalli, Master Alchemist in the Hunting Banks of Timberline Falls, to create the Alchemical Catalyst.",FALSE
,,,,,,,,,,,,,,,,,Incomplete Catalytic Converter,"Speak with G.O.X. 2.0 at Zinn's Office, located inside the Rata Novus Command Center in Tangled Depths, to gain the Incomplete Catalytic Converter.",FALSE
,,,,,,,,,,,,,,,,Legendary,Blademaster's Core,"After obtaining the Incomplete Catalytic Converter, gather the Blademaster's jungle dragon core by defeating Mordremoth's commander near the Central Blighting Tower in Dragon's Stand.",FALSE
,,,,,,,,,,,,,,,,Legendary,Axemaster's Core,"After obtaining the Incomplete Catalytic Converter, gather the Axemaster's jungle dragon core by defeating Mordremoth's commander near the Southern Blighting Tower in Dragon's Stand.",FALSE
